category,sub_category,parameter,unit,currency_year,period,value,notes,source -> data_source
charger,ldv,L2_cost_per_GW,M CAD,2022,through_2050,833.33,Obtained from Table 12: per-port installation and equipment cost estimates; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,ldv,DCFC_cost_per_GW,M CAD,2022,2025,1280,Obtained from Table 12: per-port installation and equipment cost estimates; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,ldv,DCFC_cost_per_GW,M CAD,2022,2030,1371.43,Obtained from Table 12: per-port installation and equipment cost estimates; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,ldv,DCFC_cost_per_GW,M CAD,2022,2035,960,Obtained from Table 12: per-port installation and equipment cost estimates; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,ldv,DCFC_cost_per_GW,M CAD,2022,through_2050,800,Obtained from Table 12: per-port installation and equipment cost estimates; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,50kW_cost_per_GW,M CAD,2022,2025,1572.74,Obtained from Table 21: per-port power and capital cost assumptions; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,50kW_cost_per_GW,M CAD,2022,2030,1492.08,Obtained from Table 21: per-port power and capital cost assumptions; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,50kW_cost_per_GW,M CAD,2022,2035,1426.46,Obtained from Table 21: per-port power and capital cost assumptions; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,50kW_cost_per_GW,M CAD,2022,through_2050,1375.22,Obtained from Table 21: per-port power and capital cost assumptions; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,350kW_cost_per_GW,M CAD,2022,2025,668.94,Obtained from Table 21: per-port power and capital cost assumptions; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,350kW_cost_per_GW,M CAD,2022,2030,643.86,Obtained from Table 21: per-port power and capital cost assumptions; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,350kW_cost_per_GW,M CAD,2022,2035,624.99,Obtained from Table 21: per-port power and capital cost assumptions; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,350kW_cost_per_GW,M CAD,2022,through_2050,612.15,Obtained from Table 21: per-port power and capital cost assumptions; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,2MW_cost_per_GW,M CAD,2022,2025,322.61,Obtained from Table 21: per-port power and capital cost assumptions; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,2MW_cost_per_GW,M CAD,2022,2030,314.82,Obtained from Table 21: per-port power and capital cost assumptions; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,2MW_cost_per_GW,M CAD,2022,2035,310.05,Obtained from Table 21: per-port power and capital cost assumptions; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,2MW_cost_per_GW,M CAD,2022,through_2050,308.28,Obtained from Table 21: per-port power and capital cost assumptions; normalized by GW of rated power,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,ldv,L1_cost_aggregation,,,through_2050,0.12,Derived from average total counts through 2040 in Table 6: estimated total charging infrastructure needs for LDVs charging for Canada; rounded to the nearest centesimal,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,ldv,L2_cost_aggregation,,,through_2050,0.87,Derived from average total counts through 2040 in Table 6: estimated total charging infrastructure needs for LDVs charging for Canada; rounded to the nearest centesimal,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,ldv,DCFC_cost_aggregation,,,through_2050,0.01,Derived from average total counts through 2040 in Table 6: estimated total charging infrastructure needs for LDVs charging for Canada; rounded to the nearest centesimal,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,50kW_cost_aggregation,,,through_2050,0.82,Derived from average total counts through 2040 in Table 38: MHDV port counts (primary scenario); rounded to the nearest centesimal,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,350kW_cost_aggregation,,,through_2050,0.16,Derived from average total counts through 2040 in Table 38: MHDV port counts (primary scenario); rounded to the nearest centesimal,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,mhdv,2MW_cost_aggregation,,,through_2050,0.02,Derived from average total counts through 2040 in Table 38: MHDV port counts (primary scenario); rounded to the nearest centesimal,"Dunsky Energy & Climate. (2024). Electric Vehicle Charging Infrastructure for Canada—Updated forecasts of vehicle charging needs, grid impacts and costs for all vehicle segments. Natural Resources Canada. https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/resource-library/electric-vehicle-charging-infrastructure-canada"
charger,all,fixed_to_capex_ratio,,,all,0.01,"From OEO assumptions, fixed costs of charging infrastructure set to 1% of CAPEX (Borlaug et al. 2021)","DeCarolis, J. F., Jaramillo, P., Johnson, J. X., McCollum, D. L., Trutnevyte, E., Daniels, D. C., Akin-Olçum, G., Bergerson, J., Cho, S., Choi, J.-H., Craig, M. T., de Queiroz, A. R., Eshraghi, H., Galik, C. S., Gutowski, T. G., Haapala, K. R., Hodge, B.-M., Hoque, S., Jenkins, J. D., … Zhou, Y. (2020). Open Energy Outlook—Leveraging Open-Source Tools for Collaborative Macro-energy System Modeling Efforts. Joule, 4(12), 2523–2526. https://doi.org/10.1016/j.joule.2020.11.002"
charger,ldv,efficiency,,,all,0.95,From OEO and ICCT EV CHARGE v1.2 model assumptions; assuming a flat L2 efficiency for all types,ICCT. (2024). EV CHARGE v1.2 Documentation. EV CHARGE Model Documentation. https://theicct.github.io/EVCHARGE-doc/versions/v1.2/
charger,mhdv,efficiency,,,all,0.8,From ICCT HDV CHARGE v1.2 model assumptions; higher rated power leads to more losses,ICCT. (2024). HDV CHARGE v1.2 Documentation. HDV CHARGE Model Documentation. https://theicct.github.io/HDVCHARGE-doc/versions/v1.2/
