category,sub_category,parameter,unit,currency_year,period,value,notes,source -> data_source
passenger_rail,h2,diesel_relative_cost_invest,,,through_2035,1.15,"Taken directly from US-REGEN v2025 non-road Table 6, Passenger rail row, 2035 value.","EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
passenger_rail,h2,diesel_relative_cost_invest,,,through_2050,1.01,"Taken directly from US-REGEN v2025 non-road Table 6, Passenger rail row, 2050 value.","EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_rail,lng,diesel_relative_cost_invest,,,through_2035,1.57,"Taken directly from US-REGEN v2025 non-road Table 6, Freight rail row, 2035 value; represented as LNG to match the CANOE rail powertrain convention instead of the CNG label reported by REGEN.","EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_rail,lng,diesel_relative_cost_invest,,,through_2050,1.55,"Taken directly from US-REGEN v2025 non-road Table 6, Freight rail row, 2050 value; represented as LNG to match the CANOE rail powertrain convention instead of the CNG label reported by REGEN.","EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_rail,h2,diesel_relative_cost_invest,,,through_2035,1.91,"Taken directly from US-REGEN v2025 non-road Table 6, Freight rail row, 2035 value.","EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_rail,h2,diesel_relative_cost_invest,,,through_2050,1.43,"Taken directly from US-REGEN v2025 non-road Table 6, Freight rail row, 2050 value.","EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_marine,hfo,mdo_relative_cost_invest,,,all,1,Assumed to be the same as MDO-powered vessels.,
freight_marine,lng,mdo_relative_cost_invest,,,through_2035,1.05,"Taken directly from US-REGEN v2025 non-road Table 4, Domestic Freight maritime row, 2035 value; LNG is selected from the source LNG/CNG category to match the CANOE marine powertrain convention.","EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_marine,lng,mdo_relative_cost_invest,,,through_2050,1.05,"Taken directly from US-REGEN v2025 non-road Table 4, Domestic Freight maritime row, 2050 value; LNG is selected from the source LNG/CNG category to match the CANOE marine powertrain convention.","EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_marine,h2,mdo_relative_cost_invest,,,through_2035,2.58,"Taken directly from US-REGEN v2025 non-road Table 4, Domestic Freight maritime row, 2035 value.","EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
freight_marine,h2,mdo_relative_cost_invest,,,through_2050,1.9,"Taken directly from US-REGEN v2025 non-road Table 4, Domestic Freight maritime row, 2050 value.","EPRI. (2025). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)—V2025 Model Documentation. Electric Power Research Institute. https://us-regen-docs.epri.com/v2025/"
